,customer_id,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,owns_car,name,age,age_range
0,1,F,93,Executive Secretary,Health,Mass Customer,Yes,Laraine Medendorp,68,"(61.6, 68.7]"
1,2,M,81,Administrative Officer,Financial Services,Mass Customer,Yes,Eli Bockman,41,"(40.3, 47.4]"
2,3,M,61,Recruiting Manager,Property,Mass Customer,Yes,Arlin Dearle,67,"(61.6, 68.7]"
4,5,F,56,Senior Editor,others,Affluent Customer,Yes,Sheila-kathryn Calton,44,"(40.3, 47.4]"
5,6,M,35,others,Retail,High Net Worth,Yes,Curr Duckhouse,55,"(54.5, 61.6]"
6,7,F,6,others,Financial Services,Affluent Customer,Yes,Fina Merali,45,"(40.3, 47.4]"
7,8,M,31,Media Manager I,others,Mass Customer,No,Rod Inder,59,"(54.5, 61.6]"
8,9,F,97,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,Mala Lind,48,"(47.4, 54.5]"
9,10,F,49,Senior Quality Engineer,Financial Services,Mass Customer,Yes,Fiorenze Birdall,33,"(26.1, 33.2]"
10,11,M,99,others,Property,Mass Customer,No,Uriah Bisatt,67,"(61.6, 68.7]"
11,12,M,58,Nuclear Power Engineer,Manufacturing,Mass Customer,No,Sawyere Flattman,27,"(26.1, 33.2]"
12,13,M,38,Developer I,Financial Services,High Net Worth,Yes,Gabriele Norcross,66,"(61.6, 68.7]"
13,14,F,85,Account Executive,Financial Services,Affluent Customer,No,Rayshell Kitteman,38,"(33.2, 40.3]"
14,15,M,91,Junior Executive,Manufacturing,Mass Customer,No,Erroll Radage,21,"(18.929, 26.1]"
15,16,M,38,Media Manager IV,others,Mass Customer,Yes,Harlin Parr,44,"(40.3, 47.4]"
16,17,M,57,Sales Associate,others,Affluent Customer,Yes,Heath Faraday,59,"(54.5, 61.6]"
17,18,F,79,Professor,others,Affluent Customer,No,Marjie Neasham,54,"(47.4, 54.5]"
18,19,F,76,Geological Engineer,Manufacturing,High Net Worth,No,Sorcha Keyson,20,"(18.929, 26.1]"
19,20,M,72,Project Manager,Manufacturing,Mass Customer,No,Basile Firth,41,"(40.3, 47.4]"
20,21,M,74,Safety Technician I,Manufacturing,Affluent Customer,Yes,Mile Cammocke,41,"(40.3, 47.4]"
21,22,F,79,others,IT,Mass Customer,No,Deeanne Durtnell,59,"(54.5, 61.6]"
